address1	address2	zipCode	city	country	geoCoords
14 Rue Berthelot			Villeurbanne		45.75885970,4.89693380
13 Rue Mauvert			Villeurbanne		45.77404220,4.87764550
7 Impasse du Boucheret			Villeurbanne		45.76731730,4.89602160
11 Rue Pierre Larousse			Villeurbanne		45.77265670,4.86833900
13 Place Jules Grandclement			Villeurbanne		45.75850260,4.88593120
9 Place de la Paix			Villeurbanne		45.75221130,4.91439590
7 Rue Bonnet			Villeurbanne		45.77776110,4.87055670
11 Rue Marguerite			Villeurbanne		45.77822020,4.87048060
3 Impasse François Chanteur			Villeurbanne		45.77823970,4.88722850
9 Impasse des Antonins			Villeurbanne		45.78192920,4.87857240
6 Rue de l'Union			Villeurbanne		45.76598390,4.89105560
6 Place Albert Thomas			Villeurbanne		45.79202960,4.83937890
17 Rue de Fontanieres			Villeurbanne		45.77678510,4.88316910
1 Rue Pierre Cacard			Villeurbanne		45.76628360,4.89325440
10 Rue des Fleurs			Villeurbanne		45.75458910,4.89480420
18 Rue de la Fraternite			Villeurbanne		45.75457030,4.88663480
3 Petite Rue de la Rize			Villeurbanne		45.76001830,4.88583180
17 Rue de Bruxelles			Villeurbanne		45.77750650,4.86888170
9 Place Paul Strauss			Villeurbanne		45.77584070,4.89397670
5 Impasse Martin			Villeurbanne		45.76280190,4.89467870
9 Rue des Acacias			Villeurbanne		45.78120930,4.90436300
18 Rue Louis Guerin			Villeurbanne		45.77845710,4.86041140
9 Rue Château Gaillard			Villeurbanne		45.77569260,4.88661060
8 Rue de la Convention			Villeurbanne		45.76333150,4.87138910
1 Rue Hippolyte Kahn			Villeurbanne		45.77174380,4.87526920
2 Rue Marcel Dutartre			Villeurbanne		45.77969310,4.87574110
14 Rue Jean Claude Vivant			Villeurbanne		45.77001810,4.86807400
14 Rue de l'Union			Villeurbanne		45.76598390,4.89105560
3 Allée Athena			Villeurbanne		45.77768260,4.86351170
12 Avenue du Commandant l'Herminier			Villeurbanne		45.76988060,4.88460580
12 Rue Joseph Gillet			Villeurbanne		45.77297700,4.88653250
19 Avenue Marcel Cerdan			Villeurbanne		45.76730500,4.90638860
14 Rue Mansard			Villeurbanne		45.76911460,4.87246960
15 Rue Philippe Verzier			Villeurbanne		45.77386150,4.87668020
16 Rue du Foyer			Villeurbanne		45.77445130,4.88029340
11 Rue Louis Braille			Villeurbanne		45.76041890,4.88228310
15 Rue Alfred Brinon			Villeurbanne		45.77677410,4.89515810
19 Rue Louis Goux			Villeurbanne		45.76588800,4.89185180
15 Impasse Amblard			Villeurbanne		45.75450120,4.88805290
12 Rue Léon Blum			Villeurbanne		45.75955720,4.89183600
1 Rue Lancon			Villeurbanne		45.77119540,4.89146110
17 Rue Jean Ottavi			Villeurbanne		45.77338760,4.87347430
19 Rue Edison			Villeurbanne		45.75503820,4.91845370
17 Rue Dedieu			Villeurbanne		45.76945290,4.86441400
16 Rue Émile Duniere			Villeurbanne		45.77964450,4.88476650
16 Rue Paul Gojon			Villeurbanne		45.77126770,4.89979370
2 Rue de l'Espoir			Villeurbanne		45.78106550,4.88282310
14 Rue de Verdun			Villeurbanne		45.78416970,4.89716230
7 Rue Léon Fabre			Villeurbanne		45.77902970,4.87336720
18 Cours Docteur Jean Damidot			Villeurbanne		45.76182050,4.88480330
14 Rue Colin			Villeurbanne		45.77548590,4.87386440
1 Impasse Metral			Villeurbanne		45.77181510,4.87106240
15 Rue Clos Poncet			Villeurbanne		45.76266980,4.87553450
11 Rue Sully Prudhomme			Villeurbanne		45.76627650,4.87875010
9 Impasse des Glycines			Villeurbanne		45.76498210,4.89437610
16 Allée Marcel Doret			Villeurbanne		45.75509340,4.91207600
3 Rue Edison			Villeurbanne		45.75505640,4.91702920
8 Rue Jean Zuber			Villeurbanne		45.77543870,4.89763160
8 Rue Berthelot			Villeurbanne		45.75896310,4.89665300
12 Rue Clement Michut			Villeurbanne		45.76779590,4.88146100
14 Rue Valentin Hauy			Villeurbanne		45.75937700,4.88351030
11 Rue Lakanal			Villeurbanne		45.77567000,4.86622270
14 Rue Chambfort			Villeurbanne		45.76696670,4.90222150
1 Avenue Salvador Allende			Villeurbanne		45.77649530,4.86271010
18 Rue Richelieu			Villeurbanne		45.76093700,4.87780100
3 Impasse des Glycines			Villeurbanne		45.76565320,4.89445840
19 Rue Louis Becker			Villeurbanne		45.76533230,4.86906620
20 Avenue Monin			Villeurbanne		45.78781010,4.88401740
10 Rue Etienne Gagnaire			Villeurbanne		45.77257490,4.86578340
5 Avenue de Bel Air			Villeurbanne		45.75704590,4.91164700
8 Rue Hippolyte Kahn			Villeurbanne		45.77153170,4.87517520
20 Rue des Roses			Villeurbanne		45.75450160,4.90658720
14 Rue Philippe Verzier			Villeurbanne		45.77395290,4.87611620
12 Rue Jean Bertin			Villeurbanne		45.76032160,4.91962850
20 Rue Jean Jaurès			Villeurbanne		45.75627760,4.87952260
16 Avenue Antoine Dutrievoz			Villeurbanne		45.77171950,4.86156430
16 Rue Tranquille			Villeurbanne		45.78454080,4.89841930
15 Rue du Caporal Morange			Villeurbanne		45.75222940,4.91733680
8 Place Wilson			Villeurbanne		45.77330790,4.86826850
16 Rue de la Prairie			Villeurbanne		45.78282700,4.89961740
16 Rue Jean Ottavi			Villeurbanne		45.77309730,4.87349370
18 Allée des Enfants			Villeurbanne		45.77045750,4.89768770
16 Rue Pascal			Villeurbanne		45.76038970,4.87465150
20 Rue du Roulet			Villeurbanne		45.78624240,4.89641070
4 Rue Louis Adam			Villeurbanne		45.76940980,4.87158660
4 Rue Monge			Villeurbanne		45.75299850,4.90887120
3 Rue Mansard			Villeurbanne		45.76930140,4.87274240
3 Rue Roger Lenoir			Villeurbanne		45.76952880,4.88926170
12 Rue du Boulevard			Villeurbanne		45.77786050,4.86853030
5 Rue des Brosses			Villeurbanne		45.75135390,4.90852690
4 Rue Roger Lenoir			Villeurbanne		45.76867860,4.88888990
16 Rue Jean Ottavi			Villeurbanne		45.77309730,4.87349370
3 Rue Francis de Pressense			Villeurbanne		45.77296240,4.86665110
6 Rue Leo Lagrange			Villeurbanne		45.78461350,4.90318990
8 Place de Croix Luizet			Villeurbanne		45.78059220,4.88294360
12 Rue du Tonkin			Villeurbanne		45.77789690,4.86508010
12 Impasse des Lilas			Villeurbanne		45.76892610,4.89071980
20 Rue de Venise			Villeurbanne		45.76688140,4.89978330
3 Rue Baudin			Villeurbanne		45.76495190,4.90566660
3 Rue Sylvestre			Villeurbanne		45.76915120,4.86673230
13 Rue d'Alsace			Villeurbanne		45.76984240,4.86997860
10 Rue Jean Pierre Bredy			Villeurbanne		45.78266950,4.88629180
15 Rue Louis Malle			Villeurbanne		45.77351800,4.85991940
2 Rue Andree Brevet			Villeurbanne		45.75664990,4.88890990
9 Rue Burais			Villeurbanne		45.75936890,4.89178250
10 Petite Rue de la Rize			Villeurbanne		45.76004680,4.88589610
12 Rue des Fleurs			Villeurbanne		45.75454360,4.89488050
3 Rue Andree Brevet			Villeurbanne		45.75662830,4.88907330
19 Impasse Brive			Villeurbanne		45.76171830,4.90149060
1 Place des Passementiers			Villeurbanne		45.76959650,4.86599110
2 Rue Francis Chirat			Villeurbanne		45.75896760,4.88903130
12 Rue Son Tay			Villeurbanne		45.77312690,4.86446370
6 Impasse des Glycines			Villeurbanne		45.76556620,4.89426830
5 Rue Louis Maynard			Villeurbanne		45.78678350,4.90033730
1 Rue des Charmettes			Villeurbanne		45.77207310,4.86614250
3 Rue Yvonne			Villeurbanne		45.75392760,4.90882200
7 Allée Marcel Doret			Villeurbanne		45.75488250,4.91181630
1 Rue Châteaubriand			Villeurbanne		45.78095830,4.88075540
4 Rue Camille Koechlin			Villeurbanne		45.76272470,4.88776800
8 Allée du Couchant			Villeurbanne		45.75970400,4.87817420
9 ?Petite Rue de la Poudrette			Villeurbanne		45.76366110,4.91852420
2 Rue Raspail			Villeurbanne		45.77322070,4.87989920
3 Rue de la Solidarite			Villeurbanne		45.75485450,4.88918170
7 Rue Louis Teillon			Villeurbanne		45.75079230,4.91571350
2 Rue Jules Siegfried			Villeurbanne		45.77468100,4.89580360
1 Rue Montgolfier			Villeurbanne		45.77457240,4.89045150
11 Rue de la Soie			Villeurbanne		45.76262660,4.91628980
18 Rue de la Marne			Villeurbanne		45.75282750,4.90585230
3 Rue du Roulet			Villeurbanne		45.78691830,4.89677880
13 Avenue de Bel Air			Villeurbanne		45.75642140,4.91235420
20 Rue Bergonier			Villeurbanne		45.76478520,4.89846880
14 Rue Jules Siegfried			Villeurbanne		45.77377380,4.89605610
4 Rue Léon Blum			Villeurbanne		45.75941870,4.89123660
3 Rue Richelieu			Villeurbanne		45.76223840,4.87864770
10 Rue Richelieu			Villeurbanne		45.76168930,4.87791890
15 Allée des Enfants			Villeurbanne		45.77046440,4.89727940
2 Rue Flachet			Villeurbanne		45.77161450,4.88995220
8 Rue Camille Koechlin			Villeurbanne		45.76306470,4.88779630
20 Allée Marcel Doret			Villeurbanne		45.75509340,4.91207600
17 Place des Maisons Neuves			Villeurbanne		45.75636750,4.87727320
14 Rue Léon Chomel			Villeurbanne		45.77076880,4.87929180
2 Boulevard Laurent Bonnevay			Villeurbanne		45.78715790,4.88714690
2 Allée Henri Georges Clouzot			Villeurbanne		45.77614730,4.86155390
13 Rue du Champ de l'Orme			Villeurbanne		45.77208430,4.89142990
16 Rue Montgolfier			Villeurbanne		45.77443720,4.88978080
13 Rue Pierre Louis Bernaix			Villeurbanne		45.76023050,4.89696490
11 Rue Baudelaire			Villeurbanne		45.76287570,4.87962580
9 Rue Leo Lagrange			Villeurbanne		45.78499000,4.90364570
4 Rue de l'Amitie			Villeurbanne		45.76477060,4.88382800
20 Boulevard du 11 Novembre 1918			Villeurbanne		45.77914540,4.86160880
17 Avenue Salvador Allende			Villeurbanne		45.77501060,4.86510480
12 Place des Maisons Neuves			Villeurbanne		45.75529220,4.87613660
9 Rue Basile			Villeurbanne		45.77922100,4.88259900
18 Impasse Brive			Villeurbanne		45.76171820,4.90149060
17 Rue Léon Chomel			Villeurbanne		45.77059670,4.87965100
14 Rue Émile Decorps			Villeurbanne		45.75875950,4.89963310
6 Rue de l'Avenir			Villeurbanne		45.75530860,4.90743250
8 Rue Dedieu			Villeurbanne		45.76929280,4.86364250
20 Rue Hector Berlioz			Villeurbanne		45.77221260,4.86832450
5 Rue de l'Amitie			Villeurbanne		45.75531410,4.89000770
4 Rue Jules Valles			Villeurbanne		45.76993910,4.86363290
16 Allée Henri Georges Clouzot			Villeurbanne		45.77628600,4.86132630
12 Rue Wilhelmine			Villeurbanne		45.78177770,4.88121200
19 Rue Andree Brevet			Villeurbanne		45.75662830,4.88907330
12 Rue Pierre Joseph Proudhon			Villeurbanne		45.77370500,4.88974560
15 Rue Charny			Villeurbanne		45.75515060,4.89051250
6 Rue des Pres			Villeurbanne		45.78174540,4.89616020
14 Rue Abbe A Firmin			Villeurbanne		45.78401100,4.89862800
8 Rue Eugene Manuel			Villeurbanne		45.77148300,4.86924810
18 Rue Gervais Bussiere			Villeurbanne		45.77428390,4.86971620
13 Rue George Sand			Villeurbanne		45.75490330,4.88621650
19 Rue Louis Becker			Villeurbanne		45.76533230,4.86906620
17 Allée de la Cote			Villeurbanne		45.76119120,4.89820810
17 Rue Camille Koechlin			Villeurbanne		45.76369740,4.88724120
16 Rue Alexandre Boutin			Villeurbanne		45.76997970,4.86866310
12 Rue Louis Ducroize			Villeurbanne		45.75900320,4.89511330
11 Petite Rue de la Viabert			Villeurbanne		45.76686970,4.86377900
13 Impasse Henri			Villeurbanne		45.78304810,4.88815230
11 Rue Mozart			Villeurbanne		45.77515210,4.86688410
16 Rue Monge			Villeurbanne		45.75238580,4.90919180
3 Petite Rue de la Viabert			Villeurbanne		45.76686970,4.86377900
7 Place du Chanoine Boursier			Villeurbanne		45.76881680,4.87865810
3 Rue Colonel Klobb			Villeurbanne		45.77467390,4.88090250
11 Rue Bernard Lecache			Villeurbanne		45.76488430,4.91104220
6 Rue François Gillet			Villeurbanne		45.75977350,4.87286590
12 Rue Philippe Verzier			Villeurbanne		45.77408170,4.87625790
15 Rue Charlie Chaplin			Villeurbanne		45.77479010,4.86042490
12 Rue Viret			Villeurbanne		45.77383660,4.87546020
4 Rue Henri Legay			Villeurbanne		45.75798010,4.91657630
19 Rue Jean Claude Vivant			Villeurbanne		45.76981660,4.86839060
11 Rue Baudelaire			Villeurbanne		45.76287570,4.87962580
17 Avenue du Général Leclerc			Villeurbanne		45.75840790,4.89094930
14 Rue de la Serenite			Villeurbanne		45.76990900,4.89758340
12 Rue Bourgchanin			Villeurbanne		45.76435380,4.90270920
8 Rue Octavie			Villeurbanne		45.78127200,4.88736600
2 Rue de la Ligne de l'Est			Villeurbanne		45.75720500,4.90220980
15 Rue Pierre Loti			Villeurbanne		45.76852200,4.88722500
9 Rue Son Tay			Villeurbanne		45.77308130,4.86508140
6 Place du Commandant Rivière			Villeurbanne		45.77635960,4.86185360
8 Rue de Lorraine			Villeurbanne		45.76459140,4.87070020
19 Rue du Foyer			Villeurbanne		45.77474780,4.88002420
1 Rue Geoffray			Villeurbanne		45.77393610,4.88062190
6 Rue Baudin			Villeurbanne		45.76626960,4.90477190
13 Rue Frédéric Passy			Villeurbanne		45.76059840,4.87628520
17 Allée des Cèdres			Villeurbanne		45.75530430,4.91141090
14 Cours André Philip			Villeurbanne		45.77264100,4.85900320
6 Impasse Alexandre Dumas			Villeurbanne		45.77596310,4.88925300
8 Rue Paul Lafargue			Villeurbanne		45.76825100,4.88340380
7 Rue Anatole France			Villeurbanne		45.76655160,4.86837690
10 Rue Florian			Villeurbanne		45.76080130,4.88068210
5 Impasse Buyet			Villeurbanne		45.75632560,4.90350920
7 Rue Alexandre Ribot			Villeurbanne		45.77505740,4.89420940
3 Rue Mauvert			Villeurbanne		45.77465660,4.87780870
9 Rue Louis Malle			Villeurbanne		45.77350100,4.85991700
1 Rue Tranquille			Villeurbanne		45.78482660,4.89761870
15 Rue des 2 Frères			Villeurbanne		45.75562840,4.88679410
11 Avenue Auguste Blanqui			Villeurbanne		45.76337830,4.88502480
19 Rue Louise Michel			Villeurbanne		45.77446710,4.89528880
7 Rue des 2 Frères			Villeurbanne		45.75577970,4.88668780
11 Rue Alfred de Musset			Villeurbanne		45.75731150,4.91661870
15 Rue Basile			Villeurbanne		45.77922100,4.88259900
1 Boulevard de la Bataille de Stalingrad			Villeurbanne		45.78416130,4.86028930
4 Rue Louis Goux			Villeurbanne		45.76688660,4.89154790
2 Rue Victor Hugo			Villeurbanne		45.75673900,4.88021850
3 Impasse des Soeurs			Villeurbanne		45.77954130,4.88942700
20 Rue de Venise			Villeurbanne		45.76688140,4.89978330
16 Rue Bat Yam			Villeurbanne		45.77318530,4.86429110
7 Rue Charles Perrault			Villeurbanne		45.77106260,4.89056420
6 Rue de la Solidarite			Villeurbanne		45.75504340,4.88897070
18 Impasse Édouard Aynard			Villeurbanne		45.76106280,4.87628000
20 Avenue Monin			Villeurbanne		45.78781010,4.88401740
10 Rue de la Cloche			Villeurbanne		45.78828480,4.88554110
8 Rue Henri Balay			Villeurbanne		45.77259580,4.88850880
20 Avenue Aristide Briand			Villeurbanne		45.76678730,4.87980340
4 Rue Marteret			Villeurbanne		45.77770720,4.87204760
14 Impasse Édouard Aynard			Villeurbanne		45.76142910,4.87622400
15 Rue de Milan			Villeurbanne		45.77387620,4.86923890
2 Rue Francis Chirat			Villeurbanne		45.75896760,4.88903130
7 Rue Château Gaillard			Villeurbanne		45.77548160,4.88676230
9 Rue Louis Malle			Villeurbanne		45.77350100,4.85991700
10 Rue du Maréchal Foch			Villeurbanne		45.75371030,4.90495770
11 Rue Michel Servet			Villeurbanne		45.76878950,4.87891330
6 Rue Raspail			Villeurbanne		45.77323230,4.88003110
7 Impasse Édouard Aynard			Villeurbanne		45.75868190,4.87444110
2 Impasse des Bienvenus			Villeurbanne		45.77125510,4.88571990
6 Rue Basile			Villeurbanne		45.77925290,4.88278580
10 Place des Passementiers			Villeurbanne		45.76949350,4.86577010
12 Rue de Milan			Villeurbanne		45.77360680,4.86958130
2 Rue de la Fraternite			Villeurbanne		45.75464750,4.88662220
3 Rue Pierre Louis Bernaix			Villeurbanne		45.76079810,4.89689180
19 Rue Severine			Villeurbanne		45.75433080,4.91346690
9 Rue de la Prevoyance			Villeurbanne		45.77211080,4.88779500
16 Rue des Acacias			Villeurbanne		45.78173130,4.90448100
6 Impasse Alexandre Dumas			Villeurbanne		45.77596310,4.88925300
7 Rue de Lorraine			Villeurbanne		45.76440900,4.87092270
12 Impasse Chatigny			Villeurbanne		45.77571100,4.87482530
17 Rue du Caporal Morange			Villeurbanne		45.75221810,4.91743930
9 Rue Jean Pierre Bredy			Villeurbanne		45.78210270,4.88606530
17 Rue Jean Baptiste Durand			Villeurbanne		45.75450260,4.90431700
17 Impasse des Iris			Villeurbanne		45.76812830,4.89659890
14 Allée du Levant			Villeurbanne		45.75955250,4.87944780
15 Impasse Édouard Aynard			Villeurbanne		45.76079630,4.87680010
14 Rue de la Somme			Villeurbanne		45.75242820,4.90671380
14 Rue Charles Montaland			Villeurbanne		45.76386680,4.88134050
15 Rue du Professeur Calmette			Villeurbanne		45.77292160,4.89725220
11 Allée des Cèdres			Villeurbanne		45.75588570,4.91112780
5 Boulevard Eugene Reguillon			Villeurbanne		45.75976460,4.89086710
3 Rue du Luizet			Villeurbanne		45.78363370,4.88451400
14 Rue Lucette Et René Desgrand			Villeurbanne		45.78540000,4.89856230
2 Cours de la République			Villeurbanne		45.77155690,4.87346320
15 Rue Eugene Fourniere			Villeurbanne		45.75765410,4.88711810
19 Allée de l'Enfance			Villeurbanne		45.76005280,4.87900900
4 Rue Mauvert			Villeurbanne		45.77462590,4.87751510
3 Rue de la Fraternite			Villeurbanne		45.75478890,4.88681620
14 Rue Joseph Gillet			Villeurbanne		45.77300210,4.88656520
17 Rue Anatole France			Villeurbanne		45.76685170,4.86925830
13 Rue Jean Novel			Villeurbanne		45.77208680,4.86140300
6 Rue de Verdun			Villeurbanne		45.78416970,4.89716230
14 Rue Yvonne			Villeurbanne		45.77565790,4.87655920
9 Rue Delornage			Villeurbanne		45.77030830,4.86788200
19 Avenue Aristide Briand			Villeurbanne		45.76679790,4.88025620
6 Place du Chanoine Boursier			Villeurbanne		45.76881170,4.87837580
7 Avenue Paul Kruger			Villeurbanne		45.75580320,4.89369830
10 Rue Roger Lenoir			Villeurbanne		45.76867860,4.88888990
3 Rue Wilhelmine			Villeurbanne		45.78197300,4.88157180
9 Rue de la Poudrette			Villeurbanne		45.76346880,4.92007880
18 Rue du 14 Juillet 1789			Villeurbanne		45.76254030,4.87159220
12 Rue Louis Mille			Villeurbanne		45.76653160,4.88496000
18 Rue Chambfort			Villeurbanne		45.76696670,4.90222150
17 Rue Bat Yam			Villeurbanne		45.77294360,4.86469030
16 Rue Alfred de Musset			Villeurbanne		45.75798520,4.92343640
6 Rue des Bienvenus			Villeurbanne		45.77798480,4.88377940
10 Rue Raoul Durand			Villeurbanne		45.76684980,4.88503550
4 Rue de la Prevoyance			Villeurbanne		45.77264630,4.88745110
6 Rue Leo Lagrange			Villeurbanne		45.78461350,4.90318990
9 Impasse Bayet			Villeurbanne		45.76147000,4.89876930
6 Rue du Tonkin			Villeurbanne		45.77839610,4.86483130
18 Rue d'Inkermann			Villeurbanne		45.76883740,4.86578140
6 Rue Jules Guesde			Villeurbanne		45.75528930,4.90317070
2 Rue de l'Égalité			Villeurbanne		45.76421770,4.90431260
15 Rue Charles Robin			Villeurbanne		45.76442250,4.89786300
3 Rue Clement Michut			Villeurbanne		45.76831330,4.88171590
5 Rue Roger Lenoir			Villeurbanne		45.76932150,4.88909290
13 Rue Valentin Hauy			Villeurbanne		45.75930320,4.88490650
11 Rue Yvonne			Villeurbanne		45.75421170,4.90912130
4 Rue Georges Picot			Villeurbanne		45.77577180,4.89699460
1 Rue Paul Cambon			Villeurbanne		45.77636620,4.87304120
2 Rue Max Linder			Villeurbanne		
12 Rue des Acacias			Villeurbanne		45.78138030,4.90465040
16 Rue Lancon			Villeurbanne		45.77110050,4.89330840
6 Rue Clement Michut			Villeurbanne		45.76811490,4.88150920
2 Rue Camille Koechlin			Villeurbanne		45.76191330,4.88762000
16 Rue de la Prevoyance			Villeurbanne		45.77186950,4.88733710
8 Rue de la Marne			Villeurbanne		45.75354550,4.90573380
12 Rue du Pont des Planches			Villeurbanne		45.77027130,4.90768590
10 Rue de Venise			Villeurbanne		45.76677340,4.89872340
13 Rue Yvonne Chanu			Villeurbanne		45.75413740,4.90885900
17 Petite Rue de la Viabert			Villeurbanne		45.76783650,4.86515380
8 Rue John Ford			Villeurbanne		45.77844250,4.86088680
16 Rue de la Ligne de l'Est			Villeurbanne		45.75786810,4.90700240
8 Avenue Antoine de Saint Exupery			Villeurbanne		45.75929730,4.87655330
14 Rue Armand			Villeurbanne		45.77859560,4.88520720
1 Impasse Amblard			Villeurbanne		45.75527140,4.88784190
13 Rue du Progres			Villeurbanne		45.76415810,4.89394150
6 Rue de la Ligne de l'Est			Villeurbanne		45.75730160,4.90298790
20 Rue Joseph Gillet			Villeurbanne		45.77300210,4.88656520
17 Rue de la Baisse			Villeurbanne		45.76251630,4.89383820
4 Rue du Vert Buisson			Villeurbanne		45.78401170,4.90140670
20 Rue Alexandre Dumas			Villeurbanne		45.77642720,4.88995210
8 Rue des Bluets			Villeurbanne		45.78132410,4.89661470
20 Rue du Roulet			Villeurbanne		45.78624240,4.89641070
3 Rue Michel Servet			Villeurbanne		45.76935320,4.87899170
3 Impasse Bayet			Villeurbanne		45.76123050,4.89858110
14 Allée de l'Enfance			Villeurbanne		45.76001300,4.87876210
19 Rue de la Poste			Villeurbanne		45.75740930,4.88794260
9 Rue Léon Fabre			Villeurbanne		45.77861510,4.87507740
15 Rue John Ford			Villeurbanne		45.77862230,4.86129550
14 Rue de France			Villeurbanne		45.76720270,4.88736040
